CarID,Manufacturer,Model,Engine size,Fuel_Type,Year_of_Manufacturing,Mileage,Price,DealerID
C33554,Toyota,RAV4,2.4,Hybrid,2020,21317,68597,1
C09428,Ford,Focus,1.8,Petrol,2018,22500,35276,2
C00200,Ford,Mondeo,1.6,Diesel,2013,79521,17370,3
C12448,Toyota,Yaris,1.2,Petrol,2003,159534,3213,4
C39490,Ford,Mondeo,1.4,Diesel,2000,126511,4832,5
C42725,Toyota,Prius,1.8,Hybrid,2008,116195,12110,5
C10823,VW,Polo,2.0,Petrol,1997,187190,1948,5
C49499,Toyota,RAV4,2.0,Hybrid,2004,111729,11887,6
C04145,VW,Golf,1.6,Petrol,2005,120820,6083,7
C36959,Toyota,Yaris,1.4,Petrol,2001,93427,5081,8
C43107,Toyota,RAV4,2.0,Hybrid,1999,141271,6765,9
C38696,Ford,Mondeo,1.4,Diesel,1999,134793,4235,10
C06189,VW,Passat,1.8,Diesel,1996,103099,5296,11
C01415,VW,Golf,1.2,Petrol,1989,121692,1801,8
C18472,Toyota,Prius,1.0,Hybrid,2020,17010,38572,12
C29283,VW,Golf,2.0,Petrol,2017,47438,25244,13
C15178,Toyota,RAV4,2.2,Hybrid,2007,69317,20591,14
C34305,Toyota,Prius,1.4,Hybrid,2013,63590,21651,6
C12610,VW,Passat,2.0,Diesel,2004,103927,9459,15
C12145,Ford,Mondeo,1.8,Diesel,2001,222751,2589,3
C06114,Ford,Focus,2.0,Petrol,2002,39712,11587,16
C15909,Toyota,Yaris,1.0,Petrol,2003,80459,5376,3
C00822,VW,Polo,1.0,Petrol,1995,168060,1420,17
C15119,Ford,Fiesta,1.2,Petrol,1994,102413,2386,18
C13467,Ford,Mondeo,1.8,Diesel,1999,120608,5366,19
C26498,VW,Passat,1.4,Diesel,1998,125434,4506,20
C42112,BMW,Z4,2.4,Petrol,2005,172021,6462,1
C30189,VW,Golf,1.8,Diesel,2013,28330,21573,21
C37238,Toyota,RAV4,1.8,Hybrid,2006,121540,11957,5
C33110,VW,Polo,1.2,Petrol,2020,25702,22880,22
C36481,Ford,Mondeo,1.6,Diesel,2001,117716,5910,23
C24149,Ford,Fiesta,1.0,Petrol,2015,79169,10426,18
C05504,Toyota,RAV4,1.8,Petrol,1995,178581,3004,24
C03919,VW,Golf,1.6,Petrol,2001,136293,4127,25
C38479,Ford,Focus,1.4,Petrol,2012,86919,13876,11
C21124,Ford,Mondeo,1.8,Hybrid,2001,48482,11592,9
C49718,VW,Polo,1.4,Petrol,2016,30900,18376,26
C42295,Ford,Focus,1.8,Petrol,1990,119469,2855,27
C47610,VW,Passat,1.8,Diesel,2021,10523,50532,11
C11077,VW,Passat,1.8,Diesel,2004,152139,6156,12
C41515,BMW,X3,2.0,Diesel,2006,54504,16805,14
C22063,VW,Golf,1.6,Petrol,2005,63240,9177,28
C09414,VW,Golf,1.4,Petrol,1988,226696,747,7
C38341,VW,Passat,2.0,Petrol,2001,133436,5883,27
C30264,Porsche,Cayenne,3.5,Diesel,2016,54760,58952,29
C41253,Ford,Mondeo,1.6,Diesel,2008,68737,13389,25
C14645,VW,Passat,1.8,Petrol,2015,47828,26058,28
C26336,Toyota,Prius,1.0,Hybrid,1992,202267,1523,30
C28103,Ford,Mondeo,1.6,Diesel,1998,183360,2831,31
C17524,Porsche,Cayenne,4.0,Petrol,2006,92627,23857,15
C24713,Ford,Focus,1.6,Hybrid,2021,11987,51610,19
C40486,Ford,Mondeo,2.0,Diesel,2014,61295,23451,18
C03851,Toyota,Prius,1.0,Hybrid,1994,112795,3642,32
C40041,VW,Polo,1.6,Petrol,1995,189526,1494,13
C15268,Ford,Focus,1.6,Diesel,2003,61546,10151,33
C49147,BMW,M5,4.4,Petrol,1998,175373,9616,34
C30002,Ford,Focus,1.8,Petrol,2002,128295,5935,22
C45927,Ford,Fiesta,1.4,Petrol,2002,126595,3658,35
C43825,Ford,Mondeo,1.6,Diesel,1998,115774,4911,10
C17241,BMW,M5,5.0,Petrol,2002,111256,22436,33
C04893,Ford,Mondeo,1.8,Diesel,2006,134337,7687,13
C00726,VW,Polo,1.4,Petrol,1986,260477,404,36
C22950,VW,Polo,1.2,Petrol,2020,18048,23872,15
C34658,Ford,Focus,1.4,Diesel,2015,27281,26036,37
C37214,VW,Polo,1.2,Petrol,2001,100417,3963,17
C20305,Ford,Focus,2.0,Diesel,2003,96636,8916,27
C15270,Toyota,Yaris,1.4,Petrol,1991,205293,1052,1
C22368,Toyota,RAV4,2.4,Hybrid,2006,78198,18946,38
C42685,Ford,Mondeo,1.8,Petrol,2018,20250,35392,2
